"",molecularweight,xlogp,hydrogenbonddonorcount,hydrogenbondacceptorcount,polarsurfacearea,formalcharge,numrings,rotatablebondcount,refractivity,logpsolubility,ro5,ghose,veber,blood,skin,brain,testis,adipose tissue,muscle,nerve,blood vessel,heart,lung,esophagus,kidney,thyroid,uterus,pancreas,vagina,stomach,adrenal gland,colon,prostate,spleen,liver,ovary,breast,bladder,small intestine,salivary gland,lossfreq,maxbtwn,maxdegree,ntargets,wqed,result
0,Bicalutamide,430.061040456,2.70929555,2,5,107.26,0,2,6,96.5895,0.00928,0,0,1,4.575,0.0,4.581,3.127,0.0,3.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.067,0.0,0.0,0.0,0.0,0.0,4.763,0.0,4.71,3.065,0.0,0.0,0.0,0.0,0.5977011494252871,938299.3253165891,488,1,0.45799999999999996,failed
1,Dexamethasone,392.19990224300005,1.68156967966667,3,5,94.83,0,4,2,102.4929,0.0505,0,0,1,0.0,0.0,3.005,0.0,0.0,0.0,0.0,0.0,3.027,4.441,0.0,4.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.521,0.0,0.0,0.0,0.0,0.0,0.509090909090909,256392.74781158,268,4,0.332,failed
2,Vapreotide,1130.483013278,0.7573738633915171,13,11,350.64,0,7,18,306.2041,0.00399,1,1,1,0.0,0.0,4.766,0.0,0.0,0.0,0.0,0.0,0.0,4.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.486187845303867,92842.51597093891,20,3,0.956,failed
3,Prednisone,358.178023942,1.658504178,2,5,91.67,0,4,2,97.5681,0.111,0,0,1,3.254,0.0,4.4910000000000005,0.0,3.125,3.194,0.0,0.0,0.0,3.132,0.0,4.629,0.0,4.564,0.0,0.0,0.0,3.417,0.0,0.0,0.0,4.657,0.0,0.0,0.0,0.0,0.0,0.444444444444444,256392.74781158,268,2,0.21100000000000002,failed
4,Docetaxel,807.346605409,2.916790955,5,10,224.45,0,6,13,203.9017,0.0127,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.732,0.0,0.0,0.0,3.107,0.0,0.6918918918918922,243334.273788185,1034,5,0.853,failed
5,Celecoxib,381.07588201199997,4.00944177433333,1,3,77.98,0,3,4,92.2342,0.00503,0,0,1,4.776,0.0,3.1630000000000003,0.0,0.0,0.0,0.0,4.573,4.582,4.601,0.0,0.0,0.0,3.0210000000000004,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.123,0.0,0.0,3.044,0.0,0.0,0.47058823529411803,83205.3644142843,142,2,0.257,failed
8,Rosiglitazone,357.11471217900004,2.44634789860569,1,5,71.53,0,3,7,97.7899,0.038,0,0,1,3.169,0.0,4.673,0.0,3.465,3.505,0.0,0.0,3.44,0.0,0.0,3.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.759,0.0,0.0,0.0,0.0,0.0,0.44761904761904797,75952.2562377524,146,2,0.175,passed
9,Hydroxyurea,76.027277382,-1.367015589,3,2,75.35,0,0,0,14.9072,269.0,0,1,1,3.462,3.161,4.852,4.49,0.0,0.0,0.0,0.0,0.0,3.567,0.0,4.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0810000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666671,17112.1809134262,578,1,0.7659999999999999,passed
11,Celecoxib,381.07588201199997,4.00944177433333,1,3,77.98,0,3,4,92.2342,0.00503,0,0,1,4.776,0.0,3.1630000000000003,0.0,0.0,0.0,0.0,4.573,4.582,4.601,0.0,0.0,0.0,3.0210000000000004,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.123,0.0,0.0,3.044,0.0,0.0,0.47058823529411803,83205.3644142843,142,2,0.257,failed
13,Calcitriol,416.329045274,4.35074099666667,3,3,60.69,0,3,6,126.5325,0.006670000000000001,0,1,1,4.538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.051,3.767,0.0,0.0,0.0,0.0,0.0,0.0,4.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.451327433628319,44680.978230035595,150,1,0.465,failed
