name, overall_status, why_stopped, nct_id
10 mg obeticholic acid (oca),Terminated,"Post-marketing reports of hepatotoxicity associated with obeticholic acid emerged in June 2017, investigators temporarily halted patient recruitment June 2017.",NCT02039219
5-fluorouracil,Terminated,"The study used a two-stage design. After stage one, the study was terminated due to excess toxicity.",NCT00551759
5-fluorouracil and irinotecan,Terminated,Study team felt toxicity of study regimen outweighed potential benefit.,NCT02626520
abemaciclib,Terminated,The study was terminated due to an unexpected toxicity finding.,NCT04165031
abemaciclib,Withdrawn,"One of the study drugs will no longer be supplied by manufacturer and the pembrolizumab + abemaciclib study arm is removed due to toxicity seen in other trials.",NCT04220892
abiraterone acetate,Terminated,Dose limiting toxicities on lowest dose level,NCT01717898
acadesine 140mg/kg/d,Terminated,Renal toxicity,NCT01813838
acadesine 210mg/kg/d,Terminated,Renal toxicity,NCT01813838
acadesine 315mg/kg/d,Terminated,Renal toxicity,NCT01813838
acelarin,Suspended,Suspended to recruitment following TSC review on efficacy and toxicities,NCT03610100
ach-0137171,Terminated,Nephrotoxicity,NCT00401947
aeg35156,Terminated,Unacceptable Neurotoxicity (2 cases),NCT00558922
afatinib,Terminated,Slow accrual and high levels of toxicity lead to early termination.,NCT01732640
akt inhibitor mk2206,Terminated,"terminated early, due to toxicity",NCT01319539
ambrisentan - high dose,Terminated,Ongoing juvenile rat toxicology studies.,NCT01332331
ambrisentan - low dose,Terminated,Ongoing juvenile rat toxicology studies.,NCT01332331
amg 747,Terminated,Toxic Epidermal Necrolysis,NCT01568216
amg 747,Terminated,Toxic Epidermal Necrolysis,NCT01568229
anastrozole,Terminated,Treatment toxicity,NCT02585388
apricoxib,Terminated,Drug sponsor stopped drug manufacture due to toxicity issues from other studies,NCT01532362
asparaginase,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
avastin,Terminated,Study ended early due to toxicity,NCT01186406
ave9633,Terminated,due to absence of evidence of clinical activity up to toxic doses,NCT00543972
azacitidine,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
azd8154 monodose dpi presented in capsules,Terminated,Need for evaluation of emerging pre-clinical toxicology findings,NCT04480879
azd8154 nebuliser,Terminated,Need for evaluation of emerging pre-clinical toxicology findings,NCT04480879
"azd8154 nebulizer suspension, 20 mg/ml",Withdrawn,The reason is: emerging pre-clinical toxicology findings.,NCT04187508
azd8154 placebo monodose dpi presented in capsules,Terminated,Need for evaluation of emerging pre-clinical toxicology findings,NCT04480879
bay1128688,Terminated,Study BAY1128688/17472 (AKRENDO 1) was terminated early on 20 July 2018 due to hepatotoxicity,NCT03373422
bendamustine,Terminated,Study was closed early due to toxicity,NCT00901927
bevacizumab,Terminated,Dose limiting toxicity at the lowest planned dose level.,NCT00779311
bevacizumab,Terminated,Significant Toxicities Experienced,NCT00632541
bevacizumab,Terminated,Slow accrual; toxicity; change in priorities,NCT01495988
bevacizumab,Terminated,Terminated due to bevacizumab and chemoradiotherapy toxicity,NCT00402883
bevacizumab,Withdrawn,Toxicity of combination from other trials,NCT00556205
bevacizumab (avastin),Terminated,lack of response activity in the setting of an unacceptable toxicity profile,NCT00667277
"bevacizumab, rituximab",Terminated,Toxicity and efficacy data from another trial,NCT00788606
bez235,Terminated,Dose limiting toxicities on lowest dose level,NCT01717898
bez235,Terminated,"Given the number of toxicities seen and the difficulty with patient retention in the dose escalation portion, the sponsor decided to close the trial.",NCT01453595
bortezomib,Terminated,Enrollment held for toxicity evaluation; then closed due to competing trial,NCT02489500
bortezomib,Terminated,"Met protocol stop rule [i.e., extreme toxicity]",NCT00818649
bortezomib,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
brentuximab vedotin,Terminated,Toxicity,NCT01940796
busulfan,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
calcitriol,Terminated,Extreme toxicity,NCT00383487
"campath, busulfan, clofarabine",Terminated,Excess toxicity,NCT00638820
camrelizumab,Withdrawn,toxicity,NCT04044378
capecitabine,Terminated,Excess toxicity was identified intraoperatively,NCT00889187
capecitabine,Terminated,Toxicity and lack of efficacy,NCT00541112
"capecitabine, bevacizumab",Terminated,"reaching of step 1 (recruitment of 8 patients) per protocol -> risk assessment -> termination because of occurance of toxicity Grade 3 and 4",NCT00671645
carboplatin,Terminated,"1. Very low enrollment rate.    2. Recent studies question the effect of adding panitumumab in this category of patients.   3. Too high toxicity rate",NCT01038037
carboplatin,Terminated,Closed early due to increased hematologic toxicity and possible reduced efficacy,NCT01388647
carboplatin,Terminated,Number of known toxicities observed despite a treatment-naïve population,NCT00807755
carboplatin,Terminated,Slow accrual and high levels of toxicity lead to early termination.,NCT01732640
carboplatin,Terminated,Terminated due to bevacizumab and chemoradiotherapy toxicity,NCT00402883
carboplatin,Terminated,Terminated due to unacceptable toxicity,NCT00910000
carboplatin,Terminated,Toxicity,NCT01009346
carboplatin,Terminated,toxicity of combination of medications,NCT01496534
carfilzomib,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
cc-5103 (lenalidomide),Terminated,Toxicity,NCT00142168
celecoxib,Terminated,Due to reported toxicity of Celecoxib at high doses,NCT00231829
celecoxib,Withdrawn,Withdrawn due to drug toxicity,NCT00084578
cetuximab,Terminated,"The study used a two-stage design. After stage one, the study was terminated due to excess toxicity.",NCT00551759
cetuximab,Terminated,The study was terminated due to an unexpected toxicity finding.,NCT04165031
cetuximab,Terminated,Toxicity,NCT01009346
cisplatin,Terminated,Closed at a planned interim analysis by meeting a predefined toxicity endpoint,NCT00262951
cisplatin,Terminated,"company stopped production of study drug due to excessive toxicities, lack of efficacy",NCT01918306
cisplatin,Terminated,Extreme toxicity,NCT00726986
cisplatin,Terminated,Extreme Toxicity,NCT01611662
cisplatin,Terminated,Inadequate toxicity,NCT00955240
cisplatin,Terminated,Patient Toxicities,NCT00859339
cisplatin,Terminated,Slow accrual and high levels of toxicity lead to early termination.,NCT01732640
cisplatin,Terminated,Toxicity,NCT01009346
cisplatin,Terminated,toxicity of combination of medications,NCT01496534
cisplatin,Terminated,Toxicity was not felt to be acceptable for further development.,NCT01110226
clofarabine,Terminated,toxicities were worse than expected,NCT00593645
cobimetinib,Terminated,Slow accrual; toxicity; change in priorities,NCT01495988
conditioning chemotherapy,Terminated,toxicity,NCT00582816
cpx-351,Suspended,Dose limiting toxicities.,NCT03878927
cs-7017,Terminated,"Due to low enrollment, no participant had a dose limiting toxicity, therefore a maximum tolerated dose could not be established",NCT00603941
cyclophosphamide,Terminated,Closed this protocol due to autoimmune toxicity.,NCT01369888
cyclophosphamide,Terminated,drug toxicity,NCT00679029
cyclophosphamide,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
cyclophosphamide,Terminated,"Unexpected toxicities, likely due to TIL/IL-12 & low % of durable responses.",NCT01236573
cyclophosphamide,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
cyclophosphamide,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
cyclophosphamide,Terminated,Withdrawn due to toxicity,NCT00376805
cyclophosphamide,Terminated,Withdrawn due to toxicity,NCT00652899
cyclophosphamide 50 mg/kg iv days 3 and 4 post transplant,Suspended,On hold for toxicitiy,NCT02623439
cyclophosphamide dose level 1,Terminated,Optimal dose obtained for engraftment and minimizing toxicity,NCT02512679
cyclophosphamide dose level 2,Terminated,Optimal dose obtained for engraftment and minimizing toxicity,NCT02512679
cyclophosphamide dose level 3,Terminated,Optimal dose obtained for engraftment and minimizing toxicity,NCT02512679
cyclophosphamide dose level 4,Terminated,Optimal dose obtained for engraftment and minimizing toxicity,NCT02512679
cytarabine,Terminated,toxicities were worse than expected,NCT00593645
cytarabine,Terminated,Unexpected toxicity,NCT03381118
cytarabine,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
cytarabine,Terminated,"Withdrawn due to ""toxicity"" problems",NCT00124644
dacarbazine,Terminated,toxicities required dose reduction compromising effectiveness and PI left Moffitt,NCT00496223
dasatinib,Terminated,Toxicity,NCT00544908
daunorubicin hydrochloride,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
daunorubicin hydrochloride,Terminated,"Withdrawn due to ""toxicity"" problems",NCT00124644
decitabine,Terminated,Toxicity,NCT01483690
dexamethasone,Terminated,"Due to study design (and toxicity), this trial closed to accrual prior to opening the phase II portion.",NCT00687674
dexamethasone,Terminated,Toxicity,NCT01483690
dexamethasone,Terminated,Toxicity and Lack of Efficacy,NCT00253318
dexamethasone,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
dexamethasone,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
dm1157,Terminated,"There was toxicity in higher dose groups and a therapeutic dose level was not found in lower dose groups.",NCT03490162
docetaxel,Terminated,closed due to toxicity,NCT00565227
docetaxel,Terminated,Dose Limiting Toxicities,NCT00734851
docetaxel,Terminated,"The study used a two-stage design. After stage one, the study was terminated due to excess toxicity.",NCT00551759
docetaxel,Terminated,The study was terminated due to an unexpected toxicity finding.,NCT04165031
docetaxel,Terminated,Toxicity and Lack of Efficacy,NCT00253318
docetaxel,Terminated,Toxicity issues,NCT00104624
doublet (rad001 and lbh589),Terminated,The toxicity seemed to outweigh the benefit.,NCT00978432
dovitinib,Terminated,Drug toxicity,NCT01548924
dovitinib,Terminated,Trial met toxicity stopping rule,NCT01266070
dovitinib lactate,Terminated,Patient safety - Unacceptable toxicity,NCT01515969
dovitinib + paclitaxel,Terminated,Drug toxicity,NCT01548924
"doxil, methotrexate, l-asparaginase, prednisone",Terminated,toxicity,NCT00161239
doxorubicin hydrochloride,Terminated,drug toxicity,NCT00679029
doxorubicin hydrochloride,Terminated,Withdrawn due to an excess of toxic deaths,NCT00275106
dutasteride,Terminated,The study terminated early due to concerns about drug toxicity.,NCT00953576
ema401,Terminated,Study was terminated due to animal toxicity data,NCT03297294
ema401,Terminated,"The study was terminated early due to pre-clinical toxicity data that became available after start of trial",NCT03094195
eribulin,Terminated,Closed early due to increased hematologic toxicity and possible reduced efficacy,NCT01388647
erlotinib,Terminated,Extreme toxicity of Pertuzumab and Erlotinib combination,NCT00947167
erlotinib,Terminated,Extreme toxicity of Pertuzumab and Erlotinib combination,NCT01108458
erlotinib,Terminated,"PI closed study early, all patients experienced severe toxicities and progressed",NCT01205685
erlotinib,Terminated,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.,NCT00642746
erlotinib,Terminated,The study was terminated due to an unexpected toxicity finding.,NCT04165031
erlotinib,Terminated,Unanticipated Toxicities,NCT01110876
erlotinib hydrochloride,Terminated,Patient safety - Unacceptable toxicity,NCT01515969
etoposide,Terminated,Extreme toxicity,NCT00726986
etoposide,Terminated,Number of known toxicities observed despite a treatment-naïve population,NCT00807755
etoposide,Terminated,"Withdrawn due to ""toxicity"" problems",NCT00124644
everolimus,Terminated,"Extreme toxicity, met toxicity stopping rules",NCT02539459
everolimus,Terminated,unexpected level of toxicity,NCT00402662
famitinib,Withdrawn,toxicity,NCT04044378
filgrastim,Terminated,Unexpected toxicity (2 early deaths),NCT01537861
fludarabine,Terminated,Closed this protocol due to autoimmune toxicity.,NCT01369888
fludarabine,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
fludarabine,Terminated,"Unexpected toxicities, likely due to TIL/IL-12 & low % of durable responses.",NCT01236573
fludarabine,Terminated,Withdrawn due to toxicity,NCT00376805
fludarabine phosphate,Terminated,Withdrawn due to toxicity,NCT00652899
fluorouracil,Terminated,Closed at a planned interim analysis by meeting a predefined toxicity endpoint,NCT00262951
fluorouracil,Terminated,Inadequate toxicity,NCT00955240
fluorouracil,Terminated,Terminated due to poor enrollment and grade 3 toxicities noted during an interim analysis.,NCT00642746
fluorouracil,Terminated,Toxicity and lack of efficacy,NCT00541112
gdc -0941,Terminated,"company stopped production of study drug due to excessive toxicities, lack of efficacy",NCT01918306
gemcitabine,Suspended,Suspended to recruitment following TSC review on efficacy and toxicities,NCT03610100
gemcitabine,Terminated,Patient Toxicities,NCT00859339
gemcitabine,Terminated,Terminated due to unacceptable toxicity,NCT00910000
gemcitabine,Terminated,"Toxicities, lack of funding",NCT01086332
gemcitabine and capecitabine and avastin,Terminated,DSMB determined toxicity of regimen more than originally thought. Slow accrual.,NCT00462865
gemcitabine and nanoparticle albumin bound paclitaxel,Terminated,Study team felt toxicity of study regimen outweighed potential benefit.,NCT02626520
gemcitabine hydrochloride,Terminated,drug toxicity,NCT00679029
gemcitabine hydrochloride,Terminated,Extreme Toxicity,NCT01611662
gemcitabine hydrochloride,Terminated,Toxicity,NCT00323362
gemtuzumab ozogamicin,Suspended,Dose limiting toxicities.,NCT03878927
gliadel,Terminated,Study ended early due to toxicity,NCT01186406
goserelin,Terminated,"PI closed study early, all patients experienced severe toxicities and progressed",NCT01205685
granulocyte-colony stimulating factor,Terminated,Toxicity. Only enrolled patients in phase I portion of trial.,NCT02750254
