"Blood","Skin","Brain","Testis","Adipose Tissue","Muscle","Nerve","Blood Vessel","Heart","Lung","Esophagus","Kidney","Thyroid","Pituitary","Uterus","Pancreas","Vagina","Stomach","Adrenal Gland","Colon","Prostate","Spleen","Liver","Fallopian Tube","Ovary","Breast","Bladder","Cervix Uteri","Small Intestine","Salivary Gland"
"bicalutamide:1",0.0139574669999987,2.770787954,0.294103209999999,3.12999165,4.76463079,1.943944931,2.25102079,3.797863245,2.42849207,1.021457791,0.740231449999998,1.08368635,1.95700836200001,1.006197065,9.23175334899999,0.326819449999994,9.384143353,0.797003090000008,0.72331601,0.438020542000003,9.980841637,0.349894389999995,8.380415916,7.81022810999999,6.114907742,5.3550632,3.292177677,10,0.581803559999999,0.914584279
"Dexamethasone:2",10,10,5.49671364,10,10,10,10,10,10,10,10,10,10,10,10,4.402533054,10,10,10,10,10,10,4.75985527,10,10,10,10,10,10,10
"vapreotide:3",0.017872373000003,0.204288325999993,4.07410336,0.579287589999995,2.64658117,0.441089063999999,1.47278458,0.496823787999999,2.88245416,0.332920462000001,0.453543100000001,2.18890274,1.8031106,10,1.571460485,0.344511837000001,1.325667977,1.047088504,1.74146897,0.684272229999997,1.463438869,6.320471287,0.530530781000002,1.81751198,0.177345573999996,1.937250137,1.079408169,2.67269659,0.821131885,0.765554070000002
"Prednisone:6",6.519165516,10,5.49671364,4.30159497,10,10,10,9.420459747,4.36838818,10,6.61841154,2.70279932,8.644962311,8.877725124,6.92344951599999,2.976455688,7.945681095,4.709535599,3.80073547,3.700628638,10,5.595084667,10,6.58644819,10,10,6.734411716,7.282115936,5.538618088,5.745376587
"docetaxel:7",3.259106874,10,9.99999999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10
"celecoxib:8",3.437290668,7.878035307,10,9.61530828,6.82548475,6.113112926,7.35895395,7.157627106,5.20668221,8.78080368,7.68419266,7.9600842,8.471541405,7.995280266,8.347439289,6.235918522,6.912706375,8.155344009,9.06544018,9.184682846,7.761484623,8.485146523,4.271699667,8.08798623,7.902983665,7.133266926,8.335753441,8.0826931,10,7.827369213
"Tacrolimus:11",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"cytarabine:12",4.744058609,4.934298277,7.65336037,10,3.97708082,7.50735616700001,4.7747612,3.106850863,4.96078157,4.583138943,3.51173306,3.82702184,5.185718775,10,4.725462437,3.398927927,5.956421614,4.096060753,5.53044915,3.091706634,9.075609684,6.122698545,4.637019157,4.75755548,6.178425312,5.616961002,3.52810216,4.682060719,4.021503448,5.831629276
"Rosiglitazone:13",10,10,8.47258186,10,10,7.868625641,6.17432046,9.66242218,7.30477238,10,6.14245701,10,7.770501375,6.060421228,7.20586681400001,2.534630537,6.633232117,6.403473854,10,10,6.622997046,7.832043171,2.257158637,8.29295778,7.543433189,10,10,8.491678238,6.503117085,8.052556038
"Hydroxyurea:14",2.557205439,10,6.04993772999999,10,10,10,9.59178495,10,6.27453423,8.821902275,10,4.48226309,7.255313396,8.14350843399999,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,7.574364901,3.06882298,8.30090404,9.692745209,10,10,10,8.224434853,10
"Rosiglitazone:15",10,10,8.47258186,10,10,7.868625641,6.17432046,9.66242218,7.30477238,10,6.14245701,10,7.770501375,6.060421228,7.20586681400001,2.534630537,6.633232117,6.403473854,10,10,6.622997046,7.832043171,2.257158637,8.29295778,7.543433189,10,10,8.491678238,6.503117085,8.052556038
"Degarelix:22",-8.88178419700125e-16,0.052707677999992,0.116794760000001,0.0597528899999968,0.028208819999997,0.0105058039999966,0.128371379999998,0.0589503310000001,0.0236519499999996,0.0461287459999955,0.0879880099999983,0.0424303699999973,0.174724369999999,2.87913692,0.0622297879999989,0.0680052119999979,0.194324679999999,0.0543887239999985,0.0867038799999955,0.0482965389999963,0.120442039999998,0.0601606739999996,0.0477656870000001,0.054959570000003,0.116061582999998,0.0813789029999983,0.0955908299999955,0.0914453639999984,0.0586900899999971,0.155697449999996
"Degarelix:24",-8.88178419700125e-16,0.052707677999992,0.116794760000001,0.0597528899999968,0.028208819999997,0.0105058039999966,0.128371379999998,0.0589503310000001,0.0236519499999996,0.0461287459999955,0.0879880099999983,0.0424303699999973,0.174724369999999,2.87913692,0.0622297879999989,0.0680052119999979,0.194324679999999,0.0543887239999985,0.0867038799999955,0.0482965389999963,0.120442039999998,0.0601606739999996,0.0477656870000001,0.054959570000003,0.116061582999998,0.0813789029999983,0.0955908299999955,0.0914453639999984,0.0586900899999971,0.155697449999996
"Celecoxib:25",3.437290668,7.878035307,10,9.61530828,6.82548475,6.113112926,7.35895395,7.157627106,5.20668221,8.78080368,7.68419266,7.9600842,8.471541405,7.995280266,8.347439289,6.235918522,6.912706375,8.155344009,9.06544018,9.184682846,7.761484623,8.485146523,4.271699667,8.08798623,7.902983665,7.133266926,8.335753441,8.0826931,10,7.827369213
"pradefovir mesylate:26",0.0282743650000006,0.246138087999991,0.0364755200000086,0.494325979999995,0.0785487600000021,0.0804857609999989,0.0656656600000014,0.0357428040000061,0.0293904700000036,0.0397459899999975,0.0826450699999999,0.148682769999998,0.0498967920000046,0.435832843,0.0421938769999981,2.340440273,0.0683248339999984,0.0567126269999956,0.28333974,0.359644039999995,0.0654752010000026,0.0469857440000032,10,0.0446414500000003,0.0663513239999984,0.118966314999996,0.0382441540000009,0.0582019720000027,10,0.137826799999999
"calcitriol:27",3.481226444,9.99999999999999,0.0774976200000026,0.71311947999999,1.62424397,0.764312326999996,0.46541227,1.399824142,0.18274193000001,5.048594475,1.16461515,5.92004323,1.497543275,9.874783516,0.566891998000004,0.690557420000003,4.94007158300001,1.01386106,5.80154442999999,10,1.429979563,1.725871146,0.245761267999999,0.818111690000002,0.268560678000001,4.19446826,2.807871103,2.524309397,9.99999999999999,5.01123476
"Docetaxel:29",3.259106874,10,9.99999999999999,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8.515555382,10,10,10,10,10,10,10
"bortezomib:30",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"Buprenorphine:32",-2.22044604925031e-15,-6.21724893790088e-15,0.877372150000003,1.15192676,0.0564833300000043,0.00491147099999711,0,0.0145697059999996,0.0200227100000001,0.00818270899999796,1.77635683940025e-15,-3.5527136788005e-15,0.0213856859999977,0.0589153229999972,0,-2.22044604925031e-15,-3.5527136788005e-15,0.00690075999999795,-1.77635683940025e-15,0.0124551069999983,0.144849747000002,0.0076579369999985,0,0.00252235999999861,0.00787936900000297,0.00906145600000041,0.00749473399999623,-8.88178419700125e-16,0.00541607599999594,0.0145438099999975
"lapatinib:34",0.984902083999999,10,3.12739778,10,10,5.51056385,10,10,10,10,10,10,10,7.817435503,10,10,10,10,8.12995815,10,10,4.876849413,10,9.99999999999999,10,10,10,10,10,10
"Lorazepam:41",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"capecitabine:42",4.467746258,10,3.35583401,10,2.4232533,0.495607256999998,2.55456197,2.701006889,1.44377244000001,4.94026851699999,4.98864698,6.84385276,4.103782654,3.765854359,2.751442552,3.056950331,6.516115427,3.616623163,4.0807724,10,5.004799843,10,2.107688427,2.24457437,3.067645073,4.033158541,3.341159821,3.672201633,9.63755703,7.718729019
"Everolimus:43",1.981466413,5.861584663,6.42243242,10,6.05699635,7.712878227,7.45222783,6.070045948,5.28152466,6.405892849,6.78196192,6.11778879,7.618876696,8.47441339499999,6.986742496,3.826494932,5.339693785,6.364003658,6.89323044,7.138198614,7.709730387,6.564596176,4.559212923,6.4558928,5.201941967,6.678822041,6.915325165,5.599118233,7.502036095,5.954916954
"Fludarabine:44",4.729154587,10,8.10384464,10,10,10,9.59178495,10,6.27453423,8.821902275,10,4.48226309,7.255313396,8.14350843399999,9.191594124,5.044244289,10,8.775849342,10,9.596551895,8.324002266,10,3.06882298,8.30090404,9.692745209,10,10,10,8.224434853,10
