,DrugBank ID,Name,Type,protein_id,UniProt Name,Esophagus,Brain,Uterus,Lung,Skin,Testis,Small intestine,Adrenal gland,Pancreas,Muscle,Blood,Colon,Liver,Heart,Adipose tissue,Kidney,Thyroid,Spleen,Bladder,Ovary,Prostate,Stomach,Blood vessel,Nerve,Breast,Salivary gland,Vagina
0,DB01123,Proflavine,SmallMoleculeDrug,P00734,Prothrombin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751,0.0,4.977,3.4930000000000003,0.0,3.116,0.0,0.0,3.115,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0
1,DB04786,Suramin,SmallMoleculeDrug,P00734,Prothrombin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751,0.0,4.977,3.4930000000000003,0.0,3.116,0.0,0.0,3.115,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0
2,DB06695,Dabigatran etexilate,SmallMoleculeDrug,P00734,Prothrombin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.751,0.0,4.977,3.4930000000000003,0.0,3.116,0.0,0.0,3.115,0.0,0.0,0.0,0.0,0.0,4.444,0.0,0.0
3,DB00281,Lidocaine,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,3.003,4.302,3.194,3.3760000000000003,3.42,0.0,0.0,0.0,0.0,3.085,3.1060000000000003,3.4610000000000003,4.72,3.136,0.0,3.252,0.0,0.0,3.014,3.266,3.305,0.0,0.0,0.0,3.34,0.0,0.0
7,DB01259,Lapatinib,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,3.003,4.302,3.194,3.3760000000000003,3.42,0.0,0.0,0.0,0.0,3.085,3.1060000000000003,3.4610000000000003,4.72,3.136,0.0,3.252,0.0,0.0,3.014,3.266,3.305,0.0,0.0,0.0,3.34,0.0,0.0
9,DB05294,Vandetanib,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,3.003,4.302,3.194,3.3760000000000003,3.42,0.0,0.0,0.0,0.0,3.085,3.1060000000000003,3.4610000000000003,4.72,3.136,0.0,3.252,0.0,0.0,3.014,3.266,3.305,0.0,0.0,0.0,3.34,0.0,0.0
11,DB08916,Afatinib,SmallMoleculeDrug,P00533,Epidermal growth factor receptor,3.003,4.302,3.194,3.3760000000000003,3.42,0.0,0.0,0.0,0.0,3.085,3.1060000000000003,3.4610000000000003,4.72,3.136,0.0,3.252,0.0,0.0,3.014,3.266,3.305,0.0,0.0,0.0,3.34,0.0,0.0
14,DB00608,Chloroquine,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
17,DB00668,Epinephrine,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
22,DB00852,Pseudoephedrine,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
36,DB01296,Glucosamine,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
39,DB01407,Clenbuterol,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
42,DB01411,Pranlukast,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
46,DB01427,Amrinone,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
51,DB08910,Pomalidomide,SmallMoleculeDrug,P01375,Tumor necrosis factor,0.0,3.339,0.0,3.7460000000000004,3.042,0.0,0.0,0.0,0.0,3.2539999999999996,4.833,3.0269999999999997,3.536,3.418,3.156,3.1430000000000002,0.0,3.676,0.0,0.0,0.0,0.0,3.448,3.0239999999999996,0.0,0.0,0.0
54,DB00364,Sucralfate,SmallMoleculeDrug,P02671,Fibrinogen alpha chain,0.0,4.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79,0.0,4.996,4.667,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,DB00798,Gentamicin,SmallMoleculeDrug,P98164,Low-density lipoprotein receptor-related protein 2,0.0,3.8930000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,DB00945,Acetylsalicylic acid,SmallMoleculeDrug,P11021,78 kDa glucose-regulated protein,0.0,4.94,3.2910000000000004,4.148,3.273,4.504,3.029,3.043,4.306,4.678999999999999,3.3689999999999998,3.241,4.843999999999999,4.109,3.378,3.575,4.01,3.3560000000000003,0.0,3.553,4.112,3.248,0.0,0.0,0.0,0.0,0.0
76,DB00035,Desmopressin,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,0.0,4.498,0.0,4.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,DB06212,Tolvaptan,SmallMoleculeDrug,P30518,Vasopressin V2 receptor,0.0,4.498,0.0,4.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,DB08896,Regorafenib,SmallMoleculeDrug,P21802,Fibroblast growth factor receptor 2,0.0,4.838,0.0,0.0,3.154,0.0,0.0,0.0,0.0,0.0,4.494,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.486000000000001,0.0,0.0
87,DB08901,Ponatinib,SmallMoleculeDrug,P21802,Fibroblast growth factor receptor 2,0.0,4.838,0.0,0.0,3.154,0.0,0.0,0.0,0.0,0.0,4.494,0.0,4.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.486000000000001,0.0,0.0
109,DB00398,Sorafenib,SmallMoleculeDrug,P11362,Fibroblast growth factor receptor 1,0.0,4.937,4.772,4.655,0.0,4.909,0.0,0.0,4.644,3.1830000000000003,0.0,4.504,4.529,3.222,0.0,3.1319999999999997,0.0,0.0,3.031,3.7110000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,DB00210,Adapalene,SmallMoleculeDrug,O60603,Toll-like receptor 2,0.0,0.0,0.0,4.636,0.0,0.0,0.0,0.0,0.0,0.0,4.746,0.0,0.0,3.102,0.0,0.0,0.0,3.589,0.0,0.0,4.383,0.0,0.0,0.0,0.0,0.0,0.0
122,DB00451,Levothyroxine,SmallMoleculeDrug,P05106,Integrin beta-3,0.0,0.0,0.0,0.0,4.402,0.0,0.0,0.0,0.0,4.408,4.571000000000001,0.0,4.401,0.0,0.0,3.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,DB00775,Tirofiban,SmallMoleculeDrug,P05106,Integrin beta-3,0.0,0.0,0.0,0.0,4.402,0.0,0.0,0.0,0.0,4.408,4.571000000000001,0.0,4.401,0.0,0.0,3.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,DB01050,Ibuprofen,SmallMoleculeDrug,P07204,Thrombomodulin,0.0,4.609,0.0,4.673,0.0,0.0,0.0,0.0,0.0,0.0,3.045,0.0,0.0,3.3339999999999996,0.0,0.0,0.0,3.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,DB01162,Terazosin,SmallMoleculeDrug,P01137,Transforming growth factor beta-1,0.0,3.339,0.0,3.199,0.0,0.0,4.4510000000000005,0.0,0.0,3.197,4.785,0.0,3.014,3.225,0.0,3.1889999999999996,0.0,3.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,DB00091,Cyclosporine,SmallMoleculeDrug,P62937,Peptidyl-prolyl cis-trans isomerase A,0.0,4.994,3.616,4.899,4.868,4.744,3.011,0.0,4.8069999999999995,3.955,4.854,3.153,4.9639999999999995,3.971,3.3960000000000004,4.598,0.0,3.42,0.0,4.215,4.7330000000000005,4.337,0.0,0.0,0.0,0.0,0.0
137,DB00626,Bacitracin,SmallMoleculeDrug,P01023,Alpha-2-macroglobulin,0.0,4.9110000000000005,4.747,4.82,4.816,4.573,0.0,0.0,3.4960000000000004,4.0569999999999995,3.053,3.3539999999999996,4.982,4.0089999999999995,3.4,3.965,0.0,4.6819999999999995,3.8739999999999997,3.5810000000000004,4.845,3.748,4.442,0.0,0.0,0.0,0.0
138,DB01282,Carbetocin,SmallMoleculeDrug,P30559,Oxytocin receptor,0.0,3.182,4.5489999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,DB01017,Minocycline,SmallMoleculeDrug,P15692,Vascular endothelial growth factor A,0.0,4.421,3.658,4.729,3.444,0.0,3.1910000000000003,3.1910000000000003,3.5269999999999997,4.082,3.475,3.388,3.967,4.8469999999999995,3.4619999999999997,4.765,3.645,3.5439999999999996,3.487,3.216,3.707,3.343,3.755,0.0,4.685,0.0,0.0
151,DB01120,Gliclazide,SmallMoleculeDrug,P15692,Vascular endothelial growth factor A,0.0,4.421,3.658,4.729,3.444,0.0,3.1910000000000003,3.1910000000000003,3.5269999999999997,4.082,3.475,3.388,3.967,4.8469999999999995,3.4619999999999997,4.765,3.645,3.5439999999999996,3.487,3.216,3.707,3.343,3.755,0.0,4.685,0.0,0.0
153,DB01055,Mimosine,SmallMoleculeDrug,P34896,"Serine hydroxymethyltransferase, cytosolic",0.0,3.972,0.0,0.0,0.0,4.5569999999999995,0.0,0.0,0.0,0.0,0.0,0.0,4.746,0.0,0.0,3.9339999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.391,0.0,0.0
155,DB00780,Phenelzine,SmallMoleculeDrug,P80404,"4-aminobutyrate aminotransferase, mitochondrial",0.0,4.935,0.0,0.0,0.0,0.0,0.0,0.0,4.467,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,DB01080,Vigabatrin,SmallMoleculeDrug,P80404,"4-aminobutyrate aminotransferase, mitochondrial",0.0,4.935,0.0,0.0,0.0,0.0,0.0,0.0,4.467,0.0,0.0,0.0,4.699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,DB00563,Methotrexate,SmallMoleculeDrug,P31939,Bifunctional purine biosynthesis protein PURH,0.0,4.94,0.0,0.0,4.672,4.65,0.0,0.0,4.43,0.0,0.0,0.0,4.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,DB00368,Norepinephrine,SmallMoleculeDrug,P00439,Phenylalanine-4-hydroxylase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0,0.0,4.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,DB00449,Dipivefrin,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,DB00545,Pyridostigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,DB00674,Galantamine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,DB00733,Pralidoxime,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,DB00805,Minaprine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,DB00843,Donepezil,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,DB00863,Ranitidine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,DB00944,Demecarium,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,DB00981,Physostigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,DB00989,Rivastigmine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,DB01010,Edrophonium,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,DB01122,Ambenonium,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,DB01199,Tubocurarine,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,DB01245,Decamethonium,SmallMoleculeDrug,P22303,Acetylcholinesterase,0.0,4.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7960000000000003,4.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
